Time (s),Zone,Total Score
0.0,5,5
0.0,5,10
0.0,5,15
0.0,4,19
0.0,4,23
1.0999999999999999,2,170
1.0999999999999999,2,172
1.0999999999999999,2,174
1.0999999999999999,2,176
1.0999999999999999,2,178
1.0999999999999999,2,180
2.0000000000000004,10,554
2.0000000000000004,10,564
2.0000000000000004,10,574
2.0000000000000004,10,584
2.0000000000000004,10,594
2.0000000000000004,10,604
3.0000000000000013,7,1159
3.0000000000000013,6,1165
3.0000000000000013,6,1171
3.0000000000000013,6,1177
3.0000000000000013,6,1183
3.0000000000000013,5,1188
3.0000000000000013,5,1193
4.000000000000002,2,1494
4.000000000000002,2,1496
4.000000000000002,1,1497
4.000000000000002,1,1498
4.000000000000002,1,1499
4.000000000000002,1,1500
5.099999999999998,1,1564
5.099999999999998,1,1565
5.099999999999998,1,1566
5.099999999999998,1,1567
5.099999999999998,1,1568
5.099999999999998,1,1569
6.099999999999994,10,1988
6.099999999999994,10,1998
6.099999999999994,10,2008
6.099999999999994,10,2018
6.099999999999994,10,2028
6.099999999999994,10,2038
7.099999999999991,3,2527
7.099999999999991,3,2530
7.099999999999991,3,2533
7.099999999999991,3,2536
7.099999999999991,2,2538
7.099999999999991,2,2540
8.099999999999987,1,2629
8.099999999999987,1,2630
8.099999999999987,1,2631
8.099999999999987,1,2632
8.099999999999987,1,2633
8.099999999999987,1,2634
9.099999999999984,5,2899
9.099999999999984,5,2904
9.099999999999984,5,2909
9.099999999999984,5,2914
9.099999999999984,5,2919
9.099999999999984,5,2924
10.09999999999998,8,3340
10.09999999999998,7,3347
10.09999999999998,7,3354
10.09999999999998,6,3360
10.09999999999998,6,3366
10.09999999999998,5,3371
11.099999999999977,2,3515
11.099999999999977,2,3517
11.099999999999977,2,3519
11.099999999999977,3,3522
11.099999999999977,3,3525
11.099999999999977,4,3529
12.099999999999973,10,3923
12.099999999999973,10,3933
12.099999999999973,10,3943
12.099999999999973,10,3953
12.099999999999973,10,3963
12.099999999999973,10,3973
13.09999999999997,4,4273
13.09999999999997,4,4277
13.09999999999997,4,4281
13.09999999999997,5,4286
13.09999999999997,5,4291
13.09999999999997,6,4297
14.099999999999966,4,4564
14.099999999999966,4,4568
14.099999999999966,4,4572
14.099999999999966,4,4576
14.099999999999966,4,4580
14.099999999999966,4,4584
15.099999999999962,4,4816
15.099999999999962,4,4820
15.099999999999962,4,4824
15.099999999999962,4,4828
15.099999999999962,4,4832
15.099999999999962,4,4836
