time,heart_rate,spo2
0.0,73.06209581476489,95.66008990332458
0.004,73.4441653145181,95.6577785835867
0.008,71.62163616948222,95.38849453164089
0.012,72.08176129077629,95.51792634252868
0.016,73.20545094608842,95.61582152400133
0.02,71.48752820256065,95.2782818562673
0.024,71.63410057991763,95.50155996304527
0.028,73.10875573307958,95.52170262926741
0.032,73.18689756157285,95.59048076036889
0.036,71.49395812363029,95.72583843345053
0.04,73.79102414778859,95.7055272409666
0.044,73.62385460360672,95.72433655080988
0.048,73.94935339188723,95.6250919894705
0.052,71.2957799433797,95.21012269368528
0.056,72.5061622894077,95.75912906895714
0.06,71.44230805143616,95.36459989331937
0.064,72.79188627011054,96.0288773940792
0.068,74.8013936453218,95.31969522018625
0.072,72.28908615507206,95.4454014906698
0.076,72.4854209579856,95.6014442138624
0.08,73.45005335203345,95.54580532028513
0.084,74.99417929896848,95.67471853218252
0.088,72.42378355483623,95.77427161774534
0.092,74.27657382493618,95.50703528039881
0.096,71.42058167652537,95.46515530309989
0.1,74.45470491183544,95.51668733486294
0.104,73.4496526066894,95.93912062404121
0.108,74.55839144291352,95.85247012109197
0.112,74.3090314541382,95.9442880535481
0.116,73.2208022443527,95.78173936166807
0.12,72.6607626420487,95.65742803921934
0.124,71.52579077205381,95.12504457992564
0.128,72.50113331694786,95.82765898230389
0.132,72.1995528075833,95.67467794324365
0.136,73.33732325412888,95.6375958154525
0.14,73.11453433022086,95.64892066278003
0.144,72.81896272623702,95.90230853923742
0.148,72.51289783199461,95.76254712475729
0.152,74.58079198575732,95.9042058122697
0.156,73.95195799175552,95.79240816354027
0.16,72.317812265458,95.9398567703396
0.164,72.3778879431258,95.69235885815424
0.168,74.52566433448573,96.29434152438171
0.172,75.02141587847936,95.61704663099663
0.176,72.92114678316639,95.63670369483089
0.18,73.77460879649355,95.83123680543638
0.184,73.69744810536221,95.64782231475802
0.188,73.36218067557044,96.08517402488434
0.192,72.86268183032229,95.5104462645156
0.196,72.89732344911104,95.6621654890655
0.2,72.61088777359201,95.42792139532972
0.204,71.29917087297089,95.67364639588818
0.208,74.00010255060344,95.87263673775159
0.212,73.9494885243666,95.81776778812745
0.216,73.28977381360937,95.79454202491226
0.22,74.23619875566327,95.94851378445816
0.224,71.22796531144631,95.54734487188963
0.228,75.20877428293652,95.77406304280497
0.232,73.52635887814989,95.45893957369988
0.236,73.26284550387022,95.68397574555227
0.24,74.46083285352528,95.77704634331687
0.244,73.84449211663186,95.65004994206357
0.248,73.10780280826506,95.6075860795948
0.252,74.45973455948945,95.96487823171742
0.256,73.75033985131026,95.76821272163953
0.26,72.94335182774788,96.2648600799091
0.264,72.57171814516875,95.93488379219336
0.268,73.62546455367651,96.25408277424907
0.272,73.75398443037173,95.61240555138887
0.276,72.27156580704278,95.78867295722125
0.28,73.70074931939658,95.62852485935441
0.284,73.4700641589505,95.62617183632561
0.288,75.4457056607351,95.86799236668007
0.292,75.76727309603606,95.73662064617994
0.296,72.70525750548946,96.10298695605601
0.3,73.77743690156791,95.97120942032943
0.304,71.59446285710754,95.86638541367878
0.308,73.75175037518507,95.65248285056644
0.312,73.49099598531078,96.10038607256637
0.316,73.15293371383444,95.99163303823933
0.32,74.26494391698773,95.82999373674757
0.324,75.13242472578175,95.945940946954
0.328,72.70785352977079,95.71395931212759
0.332,74.44035429529207,95.52768090004538
0.336,72.95809744843652,95.89730057734391
0.34,74.87429465151429,95.82497352362331
0.344,73.94893430103423,95.85506422005916
0.348,74.46471111674043,95.65755556441997
0.352,74.84093576059271,95.7413343914624
0.356,73.99770577503679,95.8423219034576
0.36,73.15764697685454,95.85160962334474
0.364,73.81634308402302,95.67724402422651
0.368,73.34781735947583,95.7430076054511
0.372,75.70648946140601,95.63564214428847
0.376,76.3436211963637,96.04726831429134
0.38,74.75072595800549,95.23276135387734
0.384,71.10160987330907,95.87293262870959
0.388,72.92371777264366,95.96870913900736
0.392,73.82689786398355,95.2946922604414
0.396,74.94149653715543,95.8926298396208
0.4,74.94416734411931,95.55055858289977
0.404,73.44619915443516,96.19462691923485
0.408,74.34331108401273,95.61194295543268
0.412,71.29871068310312,95.76965116904992
0.416,74.02140043824848,95.74899583200772
0.42,72.1492274567067,96.04200134753991
0.424,74.34244156837023,95.71057895632023
0.428,73.34268163281538,95.70033768105127
0.432,74.99097932084292,96.0195694880371
0.436,75.40975837719778,96.1997221469784
0.44,74.9509150278025,96.21710615888833
0.444,73.60561696458143,96.02533947840193
0.448,75.20490421147208,96.30020206118691
0.452,73.62852095440527,96.1045563774119
0.456,75.45631578364602,95.84221398912922
0.46,74.79651767424997,95.51049253564076
0.464,74.29007019271309,96.08329596748312
0.468,74.76464576010162,95.79158063397585
0.472,75.43279022603257,95.80209692447174
0.476,72.28018429761512,96.33190795401698
0.48,75.19921230537415,95.70297829901233
0.484,73.61989224368732,95.94175740824501
0.488,72.99763543287938,95.86758397433705
0.492,73.00482660889104,95.78264756389744
0.496,76.2160064378741,95.75419461258701
0.5,73.52928480549495,96.18963306911894
0.504,73.47784096142887,95.72748545021554
0.508,72.49588314509474,95.9123633611844
0.512,73.19298728268313,95.96088616718819
0.516,76.69291932650498,95.87120463063836
0.52,73.80841581305056,95.62273413763953
0.524,74.17510028646768,96.17434724873989
0.528,73.53400786795305,96.18862302106575
0.532,74.07420724687601,96.09544711242023
0.536,74.90001770712148,95.93735163677391
0.54,74.6072541117603,95.75552425590351
0.544,75.87703104112643,95.73606724581316
0.548,74.13740104432088,96.28174147739756
0.552,73.95611468516624,95.94910655087804
0.556,75.33316231096227,95.89210486878652
0.56,74.13600300713163,96.01106880537134
0.564,74.32958751972963,96.18543157460861
0.568,73.61679117140804,95.86417618977292
0.572,74.5893157606341,95.6934499536661
0.576,73.1520739285218,95.80377764095284
0.58,72.25821445932023,95.85471792261215
0.584,74.17189206647726,95.83929179013143
0.588,74.0803938498944,95.58858616769308
0.592,71.96416720809988,95.99454579204959
